Data;Preco
18/01/2016;R$ 3.53
19/01/2016;R$ 3.52
20/01/2016;R$ 3.53
21/01/2016;R$ 3.65
22/01/2016;R$ 3.60
29/02/2016;R$ 3.57
01/03/2016;R$ 3.56
02/03/2016;R$ 3.52
03/03/2016;R$ 3.59
07/03/2016;R$ 3.56
08/03/2016;R$ 3.56
09/03/2016;R$ 3.60
10/03/2016;R$ 3.69
14/03/2016;R$ 3.54
15/03/2016;R$ 3.59
16/03/2016;R$ 3.61
17/03/2016;R$ 3.61
21/03/2016;R$ 3.56
22/03/2016;R$ 3.60
23/03/2016;R$ 3.65
24/03/2016;R$ 3.59
28/03/2016;R$ 3.53
29/03/2016;R$ 3.60
30/03/2016;R$ 3.56
31/03/2016;R$ 3.59
04/04/2016;R$ 3.56
05/04/2016;R$ 3.59
06/04/2016;R$ 3.60
07/04/2016;R$ 3.53
11/04/2016;R$ 3.56
12/04/2016;R$ 3.56
13/04/2016;R$ 3.58
14/04/2016;R$ 3.58
18/04/2016;R$ 3.55
19/04/2016;R$ 3.54
25/04/2016;R$ 3.53
26/04/2016;R$ 3.54
27/04/2016;R$ 3.53
28/04/2016;R$ 3.51
02/05/2016;R$ 3.51
03/05/2016;R$ 3.50
04/05/2016;R$ 3.53
05/05/2016;R$ 3.57
09/05/2016;R$ 3.51
10/05/2016;R$ 3.50
11/05/2016;R$ 3.51
12/05/2016;R$ 3.51
16/05/2016;R$ 3.49
17/05/2016;R$ 3.51
18/05/2016;R$ 3.51
19/05/2016;R$ 3.50
23/05/2016;R$ 3.53
24/05/2016;R$ 3.47
25/05/2016;R$ 3.47
30/05/2016;R$ 3.48
31/05/2016;R$ 3.50
01/06/2016;R$ 3.50
02/06/2016;R$ 3.49
06/06/2016;R$ 3.51
07/06/2016;R$ 3.48
08/06/2016;R$ 3.45
09/06/2016;R$ 3.55
10/06/2016;R$ 3.48
13/06/2016;R$ 3.46
14/06/2016;R$ 3.50
15/06/2016;R$ 3.51
16/06/2016;R$ 3.53
17/06/2016;R$ 3.71
20/06/2016;R$ 3.53
21/06/2016;R$ 3.47
22/06/2016;R$ 3.47
24/06/2016;R$ 3.45
27/06/2016;R$ 3.46
28/06/2016;R$ 3.49
29/06/2016;R$ 3.51
30/06/2016;R$ 3.52
01/07/2016;R$ 3.66
04/07/2016;R$ 3.54
05/07/2016;R$ 3.48
06/07/2016;R$ 3.46
07/07/2016;R$ 3.48
08/07/2016;R$ 3.52
11/07/2016;R$ 3.45
12/07/2016;R$ 3.47
13/07/2016;R$ 3.50
14/07/2016;R$ 3.49
15/07/2016;R$ 3.62
18/07/2016;R$ 3.51
19/07/2016;R$ 3.45
20/07/2016;R$ 3.43
21/07/2016;R$ 3.51
22/07/2016;R$ 3.50
25/07/2016;R$ 3.44
26/07/2016;R$ 3.48
27/07/2016;R$ 3.51
28/07/2016;R$ 3.46
29/07/2016;R$ 3.67
01/08/2016;R$ 3.49
02/08/2016;R$ 3.45
03/08/2016;R$ 3.45
04/08/2016;R$ 3.51
05/08/2016;R$ 3.58
08/08/2016;R$ 3.45
09/08/2016;R$ 3.48
10/08/2016;R$ 3.48
11/08/2016;R$ 3.48
12/08/2016;R$ 3.55
15/08/2016;R$ 3.48
16/08/2016;R$ 3.45
17/08/2016;R$ 3.53
18/08/2016;R$ 3.50
23/08/2016;R$ 3.53
24/08/2016;R$ 3.46
25/08/2016;R$ 3.47
26/08/2016;R$ 3.47
29/08/2016;R$ 3.49
30/08/2016;R$ 3.45
31/08/2016;R$ 3.46
01/09/2016;R$ 3.46
02/09/2016;R$ 3.54
05/09/2016;R$ 3.43
06/09/2016;R$ 3.48
07/09/2016;R$ 3.50
08/09/2016;R$ 3.47
09/09/2016;R$ 3.49
12/09/2016;R$ 3.49
13/09/2016;R$ 3.42
14/09/2016;R$ 3.46
15/09/2016;R$ 3.50
16/09/2016;R$ 3.60
19/09/2016;R$ 3.47
20/09/2016;R$ 3.49
21/09/2016;R$ 3.44
22/09/2016;R$ 3.46
23/09/2016;R$ 3.54
26/09/2016;R$ 3.49
27/09/2016;R$ 3.43
28/09/2016;R$ 3.50
29/09/2016;R$ 3.49
30/09/2016;R$ 3.54
03/10/2016;R$ 3.50
04/10/2016;R$ 3.50
05/10/2016;R$ 3.49
06/10/2016;R$ 3.49
07/10/2016;R$ 3.50
10/10/2016;R$ 3.52
11/10/2016;R$ 3.49
12/10/2016;R$ 3.48
13/10/2016;R$ 3.53
14/10/2016;R$ 3.53
17/10/2016;R$ 3.50
18/10/2016;R$ 3.53
19/10/2016;R$ 3.50
20/10/2016;R$ 3.52
21/10/2016;R$ 3.60
24/10/2016;R$ 3.55
25/10/2016;R$ 3.52
26/10/2016;R$ 3.49
27/10/2016;R$ 3.53
28/10/2016;R$ 3.60
31/10/2016;R$ 3.54
01/11/2016;R$ 3.54
02/11/2016;R$ 3.54
03/11/2016;R$ 3.55
04/11/2016;R$ 3.54
05/11/2016;R$ 3.65
07/11/2016;R$ 3.56
08/11/2016;R$ 3.55
09/11/2016;R$ 3.55
10/11/2016;R$ 3.54
11/11/2016;R$ 3.66
14/11/2016;R$ 3.52
15/11/2016;R$ 3.57
16/11/2016;R$ 3.56
17/11/2016;R$ 3.55
18/11/2016;R$ 3.58
21/11/2016;R$ 3.58
22/11/2016;R$ 3.53
23/11/2016;R$ 3.50
24/11/2016;R$ 3.55
25/11/2016;R$ 3.59
26/11/2016;R$ 3.52
27/11/2016;R$ 3.57
28/11/2016;R$ 3.52
29/11/2016;R$ 3.53
30/11/2016;R$ 3.56
01/12/2016;R$ 3.57
02/12/2016;R$ 3.69
03/12/2016;R$ 3.67
05/12/2016;R$ 3.56
06/12/2016;R$ 3.56
07/12/2016;R$ 3.58
08/12/2016;R$ 3.61
09/12/2016;R$ 3.67
10/12/2016;R$ 3.65
12/12/2016;R$ 3.65
13/12/2016;R$ 3.62
14/12/2016;R$ 3.62
15/12/2016;R$ 3.65
16/12/2016;R$ 3.67
19/12/2016;R$ 3.65
20/12/2016;R$ 3.63
21/12/2016;R$ 3.67
22/12/2016;R$ 3.63
23/12/2016;R$ 3.66
26/12/2016;R$ 3.62
27/12/2016;R$ 3.64
28/12/2016;R$ 3.65
29/12/2016;R$ 3.67
30/12/2016;R$ 3.74
02/01/2017;R$ 3.66
03/01/2017;R$ 3.67
04/01/2017;R$ 3.66
05/01/2017;R$ 3.65
06/01/2017;R$ 3.71
09/01/2017;R$ 3.67
